IMDB Data Dump ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Current IMDB data is available at https://www.imdb.com/interfaces/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA BEGINS BELOW:,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
director name,num_critic_for_reviews,duration,director_facebook likes,actor_3 facebook_likes,actor_2_name,actor_1 facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie facebook_likes
Eric Darnell,181.0,86.0,35,179,Cedric the Entertainer,851,193136719,Adventure,Jada Pinkett Smith,Madagascar,266636,1777,Andy Richter,0,385,English,USA,PG,75000000,2005,436,6.9,1.85,0
Timur Bekmambetov,316.0,110.0,335,988,Morgan Freeman,11000,134568845,Action,Angelina Jolie Pitt,Wanted,299852,25763,Common,0,713,English,USA,R,75000000,2008,11000,6.7,2.35,0
Carlos Saldanha,164.0,115.0,107,241,Ray Romano,835,195329763,Action,Denis Leary,Ice Age: The Meltdown,194249,1815,Jay Leno,0,253,English,USA,PG,80000000,2006,590,6.9,1.85,0
Peter Segal,147.0,99.0,88,328,Peter Dante,11000,120776832,Comedy,Adam Sandler,50 First Dates,266103,12952,Allen Covert,2,456,English,USA,PG-13,75000000,2004,427,6.8,2.35,11000
Adam Shankman,219.0,117.0,163,260,Elijah Kelley,719,118823091,Comedy,Jerry Stiller,Hairspray,98693,1673,Paul Dooley,9,401,English,USA,PG,75000000,2007,339,6.7,2.35,0
Renny Harlin,167.0,125.0,212,394,Alan Ford,613,41814863,Horror,James D'Arcy,Exorcist: The Beginning,28635,1970,Izabella Scorupco,0,308,English,USA,R,50000000,2004,422,5.1,2.0,893
David Kellogg,70.0,110.0,16,692,Rene Auberjonois,2000,97360069,Action,Matthew Broderick,Inspector Gadget,36491,5320,Rupert Everett,0,231,English,USA,PG,75000000,1999,710,4.1,1.85,509
Louis Leterrier,384.0,125.0,255,963,Common,11000,117698894,Crime,Morgan Freeman,Now You See Me,447979,13312,Michael Kelly,6,629,English,USA,PG-13,75000000,2013,988,7.3,2.35,105000
Dennis Dugan,179.0,102.0,221,4000,Adam Sandler,12000,162001186,Comedy,Steve Buscemi,Grown Ups,181443,28497,Salma Hayek,4,311,English,USA,PG-13,80000000,2010,11000,6.0,1.85,12000
Steven Spielberg,151.0,128.0,14000,232,Chi McBride,15000,77032279,Comedy,Tom Hanks,The Terminal,303864,16199,Barry Shabaka Henley,0,596,English,USA,PG-13,60000000,2004,466,7.3,1.85,16000
Thor Freudenthal,107.0,100.0,87,446,Kevin Dillon,3000,73023275,Comedy,Don Cheadle,Hotel for Dogs,16271,5174,Yvette Nicole Brown,4,57,English,USA,PG,35000000,2009,576,5.4,1.85,1000
Martin Campbell,134.0,124.0,258,748,Scott Glenn,867,68473360,Action,Nicholas Lea,Vertical Limit,49536,3424,Ben Mendelsohn,0,379,English,USA,PG-13,75000000,2000,826,5.9,1.85,0
Bibo Bergeron,143.0,90.0,10,11000,Martin Scorsese,22000,160762022,Adventure,Robert De Niro,Shark Tale,132415,63165,Angelina Jolie Pitt,0,288,English,USA,PG,75000000,2004,17000,6.0,1.85,0
Bill Condon,241.0,130.0,386,525,Jennifer Hudson,912,103338338,Drama,Loretta Devine,Dreamgirls,55901,2856,Anika Noni Rose,0,503,English,USA,PG-13,70000000,2006,549,6.5,2.35,0
F. Gary Gray,161.0,118.0,473,680,Christina Milian,12000,55808744,Comedy,Dwayne Johnson,Be Cool,59435,15889,Debi Mazar,4,323,English,USA,PG-13,53000000,2005,1000,5.7,2.4,0
Steven Spielberg,298.0,163.0,14000,412,Moritz Bleibtreu,745,47379090,Drama,Ayelet Zurer,Munich,176936,2529,Mathieu Amalric,0,824,English,France,R,70000000,2005,486,7.6,2.35,0
Antoine Fuqua,89.0,142.0,845,787,Tom Skerritt,13000,43426961,Action,Bruce Willis,Tears of the Sun,93494,16580,Cole Hauser,1,394,English,USA,R,70000000,2003,1000,6.6,2.35,0
Robert Luketic,140.0,100.0,126,925,Lisa Ann Walter,19000,47000485,Action,Tom Selleck,Killers,72867,25206,Catherine O'Hara,2,120,English,USA,PG-13,75000000,2010,1000,5.4,2.35,0
James L. Brooks,124.0,131.0,274,138,Paz Vega,11000,42044321,Comedy,Adam Sandler,Spanglish,65668,12522,Sarah Steele,2,342,English,USA,PG-13,80000000,2004,964,6.5,1.85,0
Gil Kenan,190.0,91.0,27,925,Jon Heder,12000,73661010,Animation,Steve Buscemi,Monster House,71137,17299,Catherine O'Hara,0,229,English,USA,PG,75000000,2006,970,6.6,2.35,0
Barry Levinson,132.0,123.0,272,193,Br�an F. O'Byrne,13000,41523271,Comedy,Bruce Willis,Bandits,57038,13934,Azura Skye,2,261,English,USA,PG-13,80000000,2001,450,6.6,2.35,0
Jerry Zucker,53.0,134.0,109,249,Ben Cross,919,37600435,Action,Julia Ormond,First Knight,55350,1695,John Gielgud,3,180,English,USA,PG-13,55000000,1995,303,5.9,1.85,0
Andy Tennant,91.0,148.0,72,99,Geoffrey Palmer,582,39251128,Drama,Bai Ling,Anna and the King,31080,804,Randall Duk Kim,2,217,English,USA,PG-13,75000000,1999,103,6.7,2.35,0
Tarsem Singh,284.0,110.0,763,222,Daniel Sharman,15000,83503161,Action,Henry Cavill,Immortals,138190,16691,Steve Byers,1,405,English,USA,R,75000000,2011,1000,6.1,1.85,30000
Florent-Emilio Siri,152.0,113.0,17,759,Bruce Willis,87000,34636443,Action,Jimmy Bennett,Hostage,93790,103354,Ransford Doherty,0,288,English,USA,R,52000000,2005,13000,6.6,2.35,0
Don Bluth,131.0,94.0,383,886,Janeane Garofalo,13000,22751979,Action,Matt Damon,Titan A.E.,52244,15857,Nathan Lane,0,377,English,USA,PG,75000000,2000,1000,6.6,2.35,0
Ron Shelton,132.0,116.0,41,541,Bruce Greenwood,11000,30013346,Action,Harrison Ford,Hollywood Homicide,31293,14028,Lena Olin,2,254,English,USA,PG-13,75000000,2003,981,5.3,2.35,648
Paul W.S. Anderson,67.0,99.0,545,533,Sean Pertwee,933,14567883,Action,Connie Nielsen,Soldier,44248,2542,Jason Scott Lee,1,373,English,UK,R,75000000,1998,722,6.0,2.35,0
Henry Selick,74.0,93.0,253,637,Bridget Fonda,3000,5409517,Animation,Brendan Fraser,Monkeybone,14280,5580,Megan Mullally,0,171,English,USA,PG-13,75000000,2001,889,4.7,1.85,683
John Moore,114.0,113.0,212,568,Tony Curran,2000,21009180,Action,Dennis Quaid,Flight of the Phoenix,45815,4397,Miranda Otto,4,222,English,USA,PG-13,45000000,2004,845,6.1,2.35,1000
Kyle Balda,308.0,91.0,22,1000,Jon Hamm,7000,336029560,Action,Steve Carell,Minions,142403,13616,Steve Coogan,0,275,English,USA,PG,74000000,2015,4000,6.4,1.85,70000
Barry Levinson,108.0,134.0,272,215,James Pickens Jr.,548,36976367,Drama,Peter Coyote,Sphere,81611,1044,Huey Lewis,3,274,English,USA,PG-13,75000000,1998,270,6.0,2.35,0
Clay Kaytis,141.0,97.0,6,415,Josh Gad,22000,107225164,Action,Peter Dinklage,The Angry Birds Movie,27130,24350,Keegan-Michael Key,0,126,English,USA,PG,73000000,2016,1000,6.3,1.85,14000
Andy Tennant,176.0,112.0,72,715,Ray Winstone,11000,70224196,Action,Matthew McConaughey,Fool's Gold,59352,13827,Alexis Dziena,0,138,English,USA,PG-13,70000000,2008,1000,5.6,2.35,0
Peter Berg,234.0,110.0,532,461,Frances Fisher,3000,47456450,Action,Jennifer Garner,The Kingdom,101386,5187,Tim McGraw,1,289,English,USA,R,70000000,2007,638,7.1,2.35,0
Adam McKay,164.0,122.0,285,989,Leslie Bibb,8000,148213377,Action,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,130776,12410,Gary Cole,5,437,English,USA,PG-13,73000000,2006,1000,6.6,2.35,0
Steve Carr,91.0,87.0,41,574,Jeffrey Jones,1000,112950721,Comedy,Raven-Symon�,Dr. Dolittle 2,33884,3287,Kevin Pollak,0,79,English,USA,PG,72000000,2001,692,4.6,2.35,266
David Silverman,299.0,87.0,30,433,Yeardley Smith,745,183132370,Adventure,Albert Brooks,The Simpsons Movie,259083,3086,Marcia Wallace,0,763,English,USA,PG-13,75000000,2007,440,7.4,2.35,0
Renny Harlin,109.0,116.0,212,462,Estella Warren,13000,32616869,Action,Sylvester Stallone,Driven,34435,14780,Cristi�n de la Fuente,0,346,English,USA,PG-13,72000000,2001,658,4.5,2.35,886
Jean-Jacques Annaud,88.0,109.0,218,8,Jean-Claude Dreyfus,21,18947630,Adventure,David Gant,Two Brothers,11798,55,Oanh Nguyen,0,124,English,France,PG,59660000,2004,17,7.1,2.35,2000
Betty Thomas,73.0,85.0,84,595,Raven-Symon�,1000,144156464,Comedy,Oliver Platt,Doctor Dolittle,74343,4166,Peter Boyle,0,98,English,USA,PG-13,71500000,1998,1000,5.3,1.85,694
Andrew Adamson,205.0,93.0,80,48,Jennifer Saunders,692,436471036,Adventure,Rupert Everett,Shrek 2,314630,1148,Conrad Vernon,1,483,English,USA,PG,150000000,2004,309,7.2,1.85,0
John Lasseter,256.0,117.0,487,769,Cheech Marin,1000,244052771,Adventure,John Ratzenberger,Cars,263853,4905,George Carlin,0,584,English,USA,G,120000000,2006,843,7.2,2.35,0
Rob Cohen,191.0,132.0,357,212,Eve,14000,141204016,Action,Vin Diesel,xXx,142569,14790,Leila Arcieri,0,737,English,USA,PG-13,70000000,2002,223,5.8,2.35,10000
Paul Tibbitt,147.0,92.0,5,726,Billy West,870,162495848,Adventure,Tim Conway,The SpongeBob Movie: Sponge Out of Water,34359,5217,Eddie Deezen,0,133,English,USA,PG,74000000,2015,861,6.0,1.85,16000
Ron Howard,79.0,139.0,2000,808,Delroy Lindo,960,136448821,Crime,Lili Taylor,Ransom,98989,3667,Rene Russo,1,158,English,USA,R,80000000,1996,848,6.6,1.85,1000
Quentin Tarantino,486.0,153.0,16000,11000,Brad Pitt,13000,120523073,Adventure,Michael Fassbender,Inglourious Basterds,885175,36741,Christoph Waltz,1,1527,English,USA,R,75000000,2009,11000,8.3,2.35,42000
Steven Spielberg,75.0,142.0,14000,5000,Julia Roberts,49000,119654900,Adventure,Robin Williams,Hook,182802,64259,Bob Hoskins,1,363,English,USA,PG,70000000,1991,8000,6.7,2.35,13000
Renny Harlin,142.0,124.0,212,576,John Amos,13000,117541000,Action,Bruce Willis,Die Hard 2,269858,16595,Franco Nero,0,316,English,USA,R,70000000,1990,982,7.1,2.35,0
Clark Johnson,144.0,117.0,69,1000,Josh Charles,10000,116643346,Action,Jeremy Renner,S.W.A.T.,119807,14486,LL Cool J,1,340,English,USA,PG-13,80000000,2003,1000,6.0,2.35,0
Cameron Crowe,153.0,141.0,488,509,Ivana Milicevic,10000,100614858,Fantasy,Tom Cruise,Vanilla Sky,206776,11458,Noah Taylor,1,1248,English,USA,R,68000000,2001,834,6.9,1.85,0
Paul W.S. Anderson,247.0,109.0,545,727,Colin Salmon,886,80281096,Action,Sanaa Lathan,AVP: Alien vs. Predator,143628,3222,Raoul Bova,0,1283,English,USA,PG-13,60000000,2004,766,5.6,2.35,0
Betty Thomas,107.0,88.0,84,1000,Bridgit Mendler,1000,219613391,Animation,Amy Poehler,Alvin and the Chipmunks: The Squeakquel,31649,5227,Jesse McCartney,0,98,English,USA,PG,75000000,2009,1000,4.5,1.85,2000
Randall Wallace,141.0,124.0,130,841,Marc Blucas,4000,78120196,Action,Jon Hamm,We Were Soldiers,103241,6181,Chris Klein,0,742,English,USA,R,75000000,2002,973,7.1,2.35,5000
Antoine Fuqua,358.0,119.0,845,992,Morgan Freeman,18000,98895417,Action,Gerard Butler,Olympus Has Fallen,203154,31782,Radha Mitchell,3,698,English,USA,R,70000000,2013,11000,6.5,2.35,45000
Jonathan Frakes,160.0,103.0,906,748,Jonathan Frakes,1000,70117571,Action,LeVar Burton,Star Trek: Insurrection,56741,6207,Michael Dorn,0,515,English,USA,PG,58000000,1998,906,6.4,2.35,1000
Jonathan Liebesman,355.0,116.0,473,464,Jim Parrack,833,83552429,Action,Noel Fisher,Battle Los Angeles,154955,4001,Ramon Rodriguez,0,800,English,USA,PG-13,70000000,2011,697,5.8,2.35,25000
Tim Burton,235.0,125.0,13000,883,Alison Lohman,12000,66257002,Adventure,Steve Buscemi,Big Fish,350698,16138,Albert Finney,0,816,English,USA,PG-13,70000000,2003,1000,8.0,1.37,26000
Steven Spielberg,388.0,146.0,14000,979,Benedict Cumberbatch,25000,79883359,Drama,Jeremy Irvine,War Horse,116159,46726,Eddie Marsan,1,488,English,USA,PG-13,66000000,2011,19000,7.2,2.35,28000
Gary Shore,261.0,92.0,28,423,Sarah Gadon,3000,55942830,Action,Dominic Cooper,Dracula Untold,138582,5178,Zach McGowan,1,423,English,USA,PG-13,70000000,2014,692,6.3,2.35,37000
Edward Zwick,120.0,116.0,380,774,Bruce Willis,18000,40932372,Action,Denzel Washington,The Siege,58023,32563,Mark Valley,0,281,English,USA,R,70000000,1998,13000,6.3,2.35,0
Matthew Vaughn,228.0,127.0,905,271,David Kelly,15000,38345403,Adventure,Henry Cavill,Stardust,212085,16034,Nathaniel Parker,8,492,English,UK,PG-13,70000000,2007,588,7.7,2.35,15000
Jean-Jacques Annaud,76.0,136.0,218,400,Mako,11000,37901509,Adventure,Brad Pitt,Seven Years in Tibet,96385,12226,Victor Wong,1,119,English,USA,PG-13,70000000,1997,691,7.0,2.35,0
Ron Howard,185.0,111.0,2000,244,Clint Howard,17000,48430355,Comedy,Channing Tatum,The Dilemma,43709,18510,Chelcie Ross,2,141,English,USA,PG-13,70000000,2011,1000,5.3,2.35,0
Joel Schumacher,128.0,116.0,541,384,Brooke Smith,12000,30157016,Action,Anthony Hopkins,Bad Company,39659,12993,Garcelle Beauvais,2,189,English,USA,PG-13,70000000,2002,405,5.6,2.35,792
Andrzej Bartkowiak,237.0,113.0,43,452,Ben Daniels,12000,28031250,Action,Dwayne Johnson,Doom,88146,13517,Dexter Fletcher,0,814,English,UK,R,60000000,2005,585,5.2,2.35,0
Betty Thomas,105.0,97.0,84,150,Phill Lewis,989,33105600,Action,Gary Cole,I Spy,41663,1576,Tate Taylor,1,141,English,USA,PG-13,70000000,2002,229,5.4,1.37,531
M�ns M�rlind,242.0,88.0,24,324,Stephen Rea,5000,62321039,Action,Theo James,Underworld: Awakening,117096,5861,Sandrine Holt,1,271,English,USA,R,70000000,2012,327,6.4,2.35,24000
Adam Shankman,360.0,136.0,163,66,Shane Hartline,394,38509342,Comedy,James Martin Kelly,Rock of Ages,61995,712,Celina Beach,7,356,English,USA,PG-13,75000000,2012,217,5.9,2.35,33000
Gregory Hoblit,112.0,125.0,40,407,Cole Hauser,13000,19076815,Drama,Bruce Willis,Hart's War,43651,15916,Rory Cochrane,0,196,English,USA,R,60000000,2002,787,6.3,2.35,997
Gary McKendry,189.0,116.0,5,748,Robert De Niro,26000,25093607,Action,Jason Statham,Killer Elite,105556,49608,Ben Mendelsohn,2,157,English,UK,R,35000000,2011,22000,6.5,2.35,17000
John McTiernan,151.0,98.0,323,390,Chris Klein,1000,18990542,Action,LL Cool J,Rollerball,22264,2763,Andrew Bryniarski,3,289,English,USA,R,70000000,2002,841,3.0,2.35,584
Wych Kaosayananda,92.0,91.0,8,298,Sandrine Holt,349,14294842,Action,Talisa Soto,Ballistic: Ecks vs. Sever,16761,1846,Gregg Henry,1,277,English,USA,R,70000000,2002,324,3.6,2.35,391
Mikael Salomon,79.0,97.0,13,695,Minnie Driver,11000,19819494,Action,Morgan Freeman,Hard Rain,26893,13628,Randy Quaid,0,126,English,USA,R,70000000,1998,893,5.8,2.35,815
Bobby Farrelly,81.0,95.0,101,443,Brandy Norwood,2000,13596911,Action,Ron Howard,Osmosis Jones,25572,3734,David Hyde Pierce,0,123,English,USA,PG,70000000,2001,509,6.2,2.35,2000
Kerry Conran,197.0,106.0,14,582,Laurence Olivier,11000,37760080,Action,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow,72868,12871,Bai Ling,2,618,English,USA,PG,70000000,2004,1000,6.1,1.85,0
Michael Caton-Jones,159.0,116.0,105,246,Indira Varma,844,5851188,Crime,Charlotte Rampling,Basic Instinct 2,31124,1899,Neil Maskell,1,313,English,UK,R,70000000,2006,729,4.2,2.35,764
Mikael H�fstr�m,286.0,115.0,101,585,50 Cent,13000,25121291,Action,Sylvester Stallone,Escape Plan,177653,15708,Matt Gerald,1,279,English,USA,R,50000000,2013,1000,6.7,2.35,34000
Renny Harlin,156.0,99.0,212,182,Luke Newberry,576,18821279,Action,Roxanne McKee,The Legend of Hercules,44891,1520,Gaia Weiss,0,202,English,USA,PG-13,70000000,2014,358,4.2,2.35,12000
Phil Alden Robinson,176.0,124.0,31,497,Bruce McGill,11000,118471320,Action,Morgan Freeman,The Sum of All Fears,86504,12556,Philip Baker Hall,0,568,English,USA,PG-13,68000000,2002,655,6.4,2.35,0
David Slade,293.0,124.0,171,10000,Kristen Stewart,21000,300523113,Adventure,Robert Pattinson,The Twilight Saga: Eclipse,184637,52547,Anna Kendrick,3,498,English,USA,PG-13,68000000,2010,17000,4.9,2.35,29000
Pierre Coffin,304.0,87.0,275,975,Miranda Cosgrove,7000,251501645,Animation,Steve Carell,Despicable Me,385943,11608,Jack McBrayer,0,296,English,USA,PG,69000000,2010,2000,7.7,1.85,31000
Joseph Ruben,40.0,105.0,29,97,Robert Blake,584,35324232,Action,Vincent Pastore,Money Train,32224,1132,Aida Turturro,1,62,English,USA,R,68000000,1995,220,5.6,2.35,617
Seth MacFarlane,280.0,125.0,3000,3000,Morgan Freeman,14000,81257500,Comedy,Liam Neeson,Ted 2,117739,30010,Seth MacFarlane,0,229,English,USA,R,68000000,2015,11000,6.4,2.35,30000
Alejandro Amen�bar,180.0,141.0,448,334,Ashraf Barhom,614,617840,Adventure,Max Minghella,Agora,52496,1829,Rupert Evans,2,172,English,Spain,R,70000000,2009,451,7.2,2.35,29000
Kinka Usher,125.0,121.0,18,776,Wes Studi,1000,29655590,Action,Janeane Garofalo,Mystery Men,53970,3986,Eddie Izzard,4,435,English,USA,PG-13,65000000,1999,855,6.0,1.85,0
Bobby Farrelly,237.0,111.0,101,681,Larry Joe Campbell,966,45045037,Comedy,Jenna Fischer,Hall Pass,103230,3393,Stephen Merchant,3,143,English,USA,R,36000000,2011,919,5.9,2.35,10000
Timur Bekmambetov,393.0,105.0,335,911,Dominic Cooper,3000,37516013,Action,Rufus Sewell,Abraham Lincoln: Vampire Hunter,128629,8281,Benjamin Walker,0,348,English,USA,R,69000000,2012,3000,5.9,2.35,98000
Jon Amiel,138.0,113.0,36,232,Kevin McNally,537,87704396,Action,Will Patton,Entrapment,88132,1302,Maury Chaykin,1,274,English,USA,PG-13,66000000,1999,427,6.2,2.35,0
Rob Bowman,142.0,121.0,38,745,Mitch Pileggi,940,83892374,Drama,Martin Landau,The X Files,85720,4230,Jeffrey DeMunn,0,297,English,USA,PG-13,66000000,1998,826,7.0,2.35,0
Doug Lefler,90.0,102.0,4,112,Nonso Anozie,14000,5932060,Action,Colin Firth,The Last Legion,29285,14625,Owen Teale,0,174,English,UK,PG-13,35000000,2007,394,5.4,2.35,0
Steven Spielberg,219.0,169.0,14000,13000,Vin Diesel,15000,216119491,Action,Tom Hanks,Saving Private Ryan,881236,44998,Matt Damon,2,2277,English,USA,R,70000000,1998,14000,8.6,1.85,22000
Scott Waugh,327.0,132.0,76,464,Dominic Cooper,3000,43568507,Action,Rami Malek,Need for Speed,136954,7081,Ramon Rodriguez,1,346,English,USA,PG-13,66000000,2014,3000,6.5,2.35,32000
Nancy Meyers,149.0,127.0,278,912,Lisa Edelstein,2000,182805123,Comedy,Judy Greer,What Women Want,158864,5838,Loretta Devine,1,395,English,USA,PG-13,70000000,2000,955,6.4,1.37,0
Chris Wedge,193.0,103.0,77,835,Stephen Root,1000,176387405,Adventure,Goran Visnjic,Ice Age,328159,5437,Denis Leary,0,467,English,USA,PG,59000000,2002,939,7.6,1.85,3000
Lawrence Kasdan,175.0,136.0,759,354,Michael O'Neill,11000,33685268,Drama,Morgan Freeman,Dreamcatcher,75573,12194,Reece Thompson,1,662,English,USA,R,68000000,2003,599,5.5,2.35,4000
Steven Spielberg,538.0,150.0,14000,655,Hal Holbrook,23000,182204440,Biography,Joseph Gordon-Levitt,Lincoln,197412,25517,Bruce McGill,0,720,English,USA,PG-13,65000000,2012,826,7.4,2.35,71000
Ron Howard,159.0,140.0,2000,552,Miko Hughes,15000,172071312,Adventure,Tom Hanks,Apollo 13,208817,17171,Kathleen Quinlan,0,296,English,USA,PG,62000000,1995,968,7.6,2.35,5000
Michael Lembeck,80.0,104.0,54,775,Aisha Tyler,901,139225854,Comedy,Judge Reinhold,The Santa Clause 2,34561,5265,Eric Lloyd,0,116,English,USA,G,60000000,2002,857,5.5,1.85,1000
Adam McKay,173.0,106.0,285,105,Adam Scott,8000,100468793,Comedy,Will Ferrell,Step Brothers,212499,11264,Andrea Savage,2,277,English,USA,R,65000000,2008,3000,6.9,2.35,0
Martin Campbell,156.0,136.0,258,94,Tony Amendola,12000,93771072,Action,Anthony Hopkins,The Mask of Zorro,135404,12396,Stuart Wilson,0,318,English,USA,PG-13,65000000,1998,174,6.7,2.35,0
Todd Phillips,307.0,95.0,480,490,RZA,21000,100448498,Comedy,Robert Downey Jr.,Due Date,272789,23018,Matt Walsh,3,285,English,USA,R,65000000,2010,561,6.6,2.35,25000
Angelina Jolie Pitt,322.0,137.0,11000,465,Jack O'Connell,769,115603980,Biography,Finn Wittrock,Unbroken,103589,2938,Alex Russell,0,351,English,USA,PG-13,65000000,2014,698,7.2,2.35,35000
Clint Eastwood,169.0,130.0,16000,416,Courtney B. Vance,16000,90454043,Action,Clint Eastwood,Space Cowboys,60165,17771,William Devane,1,326,English,USA,PG-13,65000000,2000,495,6.4,2.35,0
Renny Harlin,74.0,124.0,212,369,Leon,13000,84049211,Action,Sylvester Stallone,Cliffhanger,96096,15229,Janine Turner,1,172,English,USA,R,70000000,1993,730,6.4,2.35,0
John Woo,72.0,108.0,610,461,Samantha Mathis,848,70450000,Action,Delroy Lindo,Broken Arrow,77390,2913,Bob Gunton,2,189,English,USA,R,50000000,1996,517,6.0,2.35,0
Jon Turteltaub,86.0,104.0,226,577,Lily Tomlin,13000,69688384,Comedy,Bruce Willis,The Kid,34473,16452,Daniel von Bargen,1,139,English,USA,PG,60000000,2000,718,6.1,1.85,0
Mike Newell,141.0,117.0,179,403,Kirsten Dunst,8000,63695760,Drama,Julia Roberts,Mona Lisa Smile,61490,12850,Marian Seldes,1,264,English,USA,PG-13,65000000,2003,4000,6.4,1.85,0
Larry Charles,313.0,99.0,119,174,Aasif Mandvi,600,59617068,Comedy,Sayed Badreya,The Dictator,213863,1375,Horatio Sanz,0,310,English,USA,R,65000000,2012,346,6.4,2.35,59000
Will Gluck,176.0,118.0,87,929,Dorian Missick,2000,85911262,Comedy,Quvenzhan� Wallis,Annie,24735,4796,David Zayas,6,213,English,USA,PG,65000000,2014,1000,5.2,2.39,16000
Glenn Ficarra,279.0,105.0,43,523,Adrian Martinez,10000,53846915,Comedy,Will Smith,Focus,149337,11943,Gerald McRaney,0,221,English,USA,R,50100000,2015,806,6.6,1.85,23000
McG,241.0,103.0,368,520,Abigail Spencer,27000,54758461,Action,Tom Hardy,This Means War,147641,29808,Warren Christie,3,238,English,USA,PG-13,65000000,2012,1000,6.3,2.35,18000
David S. Goyer,185.0,122.0,687,957,Natasha Lyonne,16000,52397389,Action,Ryan Reynolds,Blade: Trinity,132954,19764,John Michael Higgins,0,514,English,USA,R,65000000,2004,1000,5.9,2.35,0
Paul W.S. Anderson,239.0,96.0,545,974,Boris Kodjoe,14000,42345531,Action,Milla Jovovich,Resident Evil: Retribution,104831,17913,Bingbing Li,0,423,English,Germany,R,65000000,2012,1000,5.4,2.35,32000
Paul W.S. Anderson,230.0,111.0,545,805,Max Ryan,26000,36064910,Action,Jason Statham,Death Race,166610,28643,Joan Allen,4,211,English,USA,R,45000000,2008,872,6.4,2.35,0
Renny Harlin,94.0,121.0,212,263,Craig Bierko,394,33328051,Action,Melina Kanakaredes,The Long Kiss Goodnight,60508,1531,Yvonne Zima,2,285,English,USA,R,65000000,1996,380,6.7,2.35,4000
Taylor Hackford,134.0,135.0,138,184,Alun Armstrong,324,32598931,Action,Pamela Reed,Proof of Life,49300,1013,Michael Kitchen,1,265,English,USA,R,65000000,2000,192,6.2,2.35,892
Jon Favreau,136.0,101.0,4000,539,Josh Hutcherson,17000,28045540,Action,Kristen Stewart,Zathura: A Space Adventure,67707,32232,Jonah Bobo,0,202,English,USA,PG,65000000,2005,14000,6.1,1.85,0
David Fincher,315.0,151.0,21000,637,Meat Loaf,11000,37023395,Drama,Brad Pitt,Fight Club,1347461,13209,Eugenie Bondurant,2,2968,English,USA,R,63000000,1999,783,8.8,2.35,48000
McG,96.0,131.0,368,383,Kimberly Williams-Paisley,11000,43532294,Drama,Matthew McConaughey,We Are Marshall,46951,12088,Brian Geraghty,0,175,English,USA,PG,65000000,2006,529,7.1,2.35,0
Michael Lehmann,60.0,100.0,36,554,James Coburn,13000,17218080,Action,Bruce Willis,Hudson Hawk,43376,15944,Richard E. Grant,0,249,English,USA,R,70000000,1991,773,5.7,1.85,0
Stuart Beattie,308.0,92.0,72,568,Kevin Grevioux,623,19059018,Action,Caitlin Stasey,"I, Frankenstein",65709,3165,Miranda Otto,0,194,English,Australia,PG-13,65000000,2014,593,5.1,2.35,15000
Roman Polanski,127.0,130.0,2000,25,Barney Clark,268,1987287,Crime,Ian McNeice,Oliver Twist,25474,450,Tony Noble,0,138,English,UK,PG-13,50000000,2005,85,6.9,2.35,0
Rob Bowman,196.0,100.0,38,1000,Cary-Hiroyuki Tagawa,3000,24407944,Action,Jennifer Garner,Elektra,71202,7048,Goran Visnjic,0,380,English,Canada,PG-13,43000000,2005,1000,4.8,2.35,0
Frank Miller,339.0,102.0,436,6000,Bruce Willis,23000,13750556,Action,Joseph Gordon-Levitt,Sin City: A Dame to Kill For,111102,49433,Eva Green,3,239,English,USA,R,65000000,2014,13000,6.5,1.85,32000
Sydney Pollack,96.0,133.0,521,970,Kristin Scott Thomas,11000,31054924,Drama,Harrison Ford,Random Hearts,17025,16710,Bill Cobbs,1,290,English,USA,R,64000000,1999,1000,5.1,1.85,295
Baltasar Korm�kur,361.0,121.0,175,221,Martin Henderson,963,43247140,Adventure,Michael Kelly,Everest,134625,2131,Tom Goodman-Hill,0,265,English,UK,PG-13,55000000,2015,580,7.1,2.35,40000
Tom Tykwer,226.0,147.0,670,16,David Calder,177,2208939,Crime,Michael Smiley,Perfume: The Story of a Murderer,190490,253,Simon Chandler,0,482,English,Germany,R,50000000,2006,27,7.5,2.35,26000
Jay Roach,194.0,94.0,116,481,Josh Zuckerman,645,213079163,Action,Verne Troyer,Austin Powers in Goldmember,162909,2725,Robert Wagner,2,795,English,USA,PG-13,63000000,2002,522,6.2,2.35,0
David Bowers,138.0,94.0,42,668,Charlize Theron,12000,19548064,Action,Nicolas Cage,Astro Boy,25681,23365,Dee Bradley Baker,1,77,English,Hong Kong,PG,65000000,2009,9000,6.3,2.35,0
Steven Spielberg,308.0,127.0,14000,191,Ariana Richards,967,356784000,Adventure,Wayne Knight,Jurassic Park,613473,2129,Bob Peck,0,895,English,USA,PG-13,63000000,1993,610,8.1,1.85,19000
